Area,2015-16,2016-17,2017-18,2018-19,2019-20
Horsham Region,"10,000","13,538","16,145","18,561","18,745"
Nhill Region,"14,014","18,681","20,727","21,781","23,123"
St Arnaud,"12,245","14,959","16,554","16,537","19,859"
Stawell,"19,041","19,075","20,420","22,137","23,000"
West Wimmera,"9,558","11,684","13,960","13,822","14,625"
Yarriambiack,"13,165","16,697","20,188","19,786","24,909"
Irymple,"20,329","20,298","22,391","23,440","23,560"
Merbein,"15,716","15,388","18,125","21,147","20,680"
Mildura Region,"16,599","17,769","18,028","16,376","16,270"
Red Cliffs,"15,093","15,545","15,611","14,699","15,718"
Mildura - North,"15,550","14,771","15,080","16,021","16,430"
Mildura - South,"19,976","19,924","20,064","20,000","20,076"
Buloke,"10,875","15,504","18,646","17,297","20,296"
Gannawarra,"15,423","15,000","18,048","18,163","20,653"
Kerang,"17,385","18,553","19,930","19,869","22,654"
Robinvale,"16,420","15,536","18,123","17,844","16,409"
Swan Hill,"19,470","19,730","21,284","22,110","22,831"
Swan Hill Region,"14,636","15,711","17,469","17,520","18,287"
Echuca,"19,722","20,705","22,264","22,831","25,039"
Kyabram,"19,709","20,000","21,060","21,160","24,119"
Lockington - Gunbower,"15,513","16,594","18,716","19,165","21,528"
Rochester,"18,170","16,957","19,000","18,795","23,576"
Rushworth,"15,009","16,646","18,838","18,485","18,682"
Cobram,"20,323","20,520","19,727","20,665","19,874"
Moira,"16,196","15,943","18,576","19,966","19,568"
Numurkah,"17,430","16,621","17,776","19,706","21,830"
Yarrawonga,"20,000","21,587","22,101","23,155","25,023"
Mooroopna,"19,141","19,141","20,518","19,301","22,127"
Shepparton - North,"20,907","21,230","23,020","23,573","25,570"
Shepparton - South,"20,103","20,000","20,369","19,973","21,972"
Shepparton Region - East,"18,251","17,594","20,271","19,034","22,350"
Shepparton Region - West,"17,208","17,545","20,174","20,052","21,340"
Glenelg (Vic.),"15,901","15,869","17,103","17,696","18,485"
Hamilton (Vic.),"17,060","17,448","18,121","19,378","18,915"
Portland,"20,458","20,922","23,217","23,910","24,864"
Southern Grampians,"11,144","12,000","13,010","14,040","14,451"
Camperdown,"19,711","19,392","19,838","21,752","26,294"
Colac,"22,006","22,732","24,222","23,894","26,524"
Colac Region,"15,731","15,871","17,109","17,577","20,969"
Corangamite - North,"15,287","16,860","17,065","18,669","20,115"
Corangamite - South,"15,779","15,624","16,727","16,776","20,772"
Otway,"14,540","13,799","13,654","14,554","16,015"
Moyne - East,"15,855","16,354","16,651","17,586","20,029"
