 Area,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,Total,Lga
Melton South,0.1,0,1.3,0.2,1.4,0.8,2.1,1.4,1.7,0.2,0.8,0.3,1,3.3,1.2,1.2,2.5,0.3,0.7,21.2,Melton
Melton West,0.1,0,0.9,0.2,1,0.6,1.6,0.9,1.1,0.1,0.5,0.3,0.6,2,0.8,0.8,1.6,0.2,0.5,13.9,Melton
Rockbank - Mount Cottrell,0,0,0.4,0.1,0.4,0.3,0.6,0.4,0.6,0.1,0.3,0.1,0.4,1.1,0.3,0.3,1.1,0.1,0.2,6.9,Melton
Taylors Hill,0,0,0.8,0.1,0.9,0.6,1.5,1,0.9,0.2,0.8,0.2,0.9,1.5,0.7,0.9,1.4,0.2,0.4,13.5,Melton
Burnside,0,0,0.3,0,0.2,0.2,0.4,0.2,0.2,0,0.2,0,0.2,0.5,0.2,0.2,0.5,0.1,0.1,3.5,Melton
Burnside Heights,0,0,0.3,0,0.2,0.2,0.4,0.3,0.3,0.1,0.2,0.1,0.3,0.5,0.2,0.3,0.5,0.1,0.1,4.2,Melton
Caroline Springs,0,0,0.9,0.1,0.9,0.6,1.5,1.1,0.9,0.2,0.8,0.2,1,1.8,0.7,1,1.8,0.3,0.4,14.6,Wyndham
Hoppers Crossing - North,0.1,0,0.9,0.1,1,0.7,1.6,1,0.9,0.2,0.6,0.2,0.8,2,0.8,0.9,1.4,0.3,0.5,14.3,Wyndham
Hoppers Crossing - South,0.1,0,0.9,0.1,0.7,0.6,1.5,1.1,0.9,0.2,0.5,0.2,0.8,2.2,0.7,0.8,1.4,0.3,0.4,13.7,Wyndham
Laverton,0,0,0.5,0.1,0.4,0.5,0.9,1.1,0.4,0.2,0.5,0.2,0.9,1.8,0.4,0.4,0.8,0.1,0.3,9.8,Wyndham
Tarneit,0.1,0,1.9,0.4,1.4,1.3,3.7,3,2.3,0.6,1.8,0.5,2.6,6.6,1.6,1.7,4.4,0.4,0.9,36.2,Wyndham
Truganina,0.1,0,1.3,0.3,0.8,0.9,2.2,2.1,1.5,0.4,1.3,0.4,1.9,4.5,1,1,2.7,0.3,0.7,24.2,Wyndham
